participant,pre01,pre02,pre03,post01,post02,post03
1,96.67,92.94,94.9,95.88,94.12,96.47
2,105.56,106.3,107.41,106.11,109.26,110.37
3,76.12,100.52,113.75,82.82,98.45,105.5
4,105.22,99.4,102.61,93.17,89.76,94.38
5,91.67,90.94,86.59,93.66,94.2,95.65
6,111.93,113.83,115.34,121.4,126.89,123.48
7,132.59,131.48,137.96,132.96,126.67,125.93
8,93.51,92.23,98.09,95.16,100.11,101.58
9,109.55,104.88,100.2,106.3,104.07,108.94
10,87.5,59.13,68.45,87.7,84.33,89.88
11,111.29,112.72,122.58,118.46,126.7,131.36
12,99.67,94.83,102,95.83,88.67,78.5
13,113.7,112.78,118.15,100,101.11,108.15
14,94.57,88.95,88.37,84.5,87.21,85.66
15,88.22,88.04,82.25,98.01,90.58,99.28
16,93.68,92.81,95.96,92.63,92.81,87.37
17,109.98,110.34,108.73,105.88,108.2,113.73
18,112.32,112.5,114.67,113.41,114.86,116.3
19,95.51,99.06,97.94,102.62,79.4,80.52
20,101.02,103.74,103.74,90.99,100.34,103.91
21,98.4,91.19,101.6,96.31,93.75,99.68
22,99.8,105.62,107.03,104.82,97.59,103.61
23,102.28,107.02,114.04,97.37,99.3,97.89
24,75.35,77.43,76.74,80.21,76.74,79.51
25,118.97,118.09,116.31,124.47,121.81,126.6
26,119.6,120.7,109.52,116.85,117.95,117.58
27,98.45,98.84,104.26,87.79,100.78,100.78
28,93.23,87.79,95.05,83.83,94.39,98.35
29,108.02,103.7,107.72,104.01,102.62,113.58
30,106.92,109.84,113.66,113.3,110.38,115.12
31,89.38,93.59,93.41,87.18,87.55,96.7
32,77.33,79.19,83.25,87.14,86.97,88.16
33,114.41,112.5,115.28,106.42,116.67,112.85
34,73.81,76.19,79.42,79.59,81.12,84.35
35,112.84,114.18,109.58,107.85,111.88,116.86
36,112.92,109.38,109.79,110.42,114.38,110.83
37,99.35,95.95,83.82,93.85,91.75,93.2
38,105.87,103.03,104.92,100.76,103.41,99.62
39,114.58,109.38,117.08,110.63,115.83,107.92
