participant,pre01,pre02,pre03,post01,post02,post03
1,94.12,91.37,98.04,98.43,100,96.27
2,111.67,108.89,111.11,107.78,112.41,112.59
3,118.73,128.87,127.49,111,121.65,125.77
4,121.29,118.67,120.08,120.08,117.47,122.09
5,102.17,100.36,105.43,104.71,109.96,99.46
6,123.67,128.03,129.92,132.2,132.58,134.66
7,134.07,133.52,118.52,132.41,121.48,125.37
8,104.51,103.96,103.04,102.49,112.76,112.94
9,111.99,106.71,105.69,115.85,114.02,114.63
10,93.06,93.45,86.9,87.3,89.52,91.87
11,111.11,116.31,119.89,110.57,124.01,130.47
12,108.17,97.67,107.5,105.33,96.33,101.17
13,120.74,117.41,120,98.7,105.56,115.19
14,93.41,96.12,96.51,94.38,91.86,91.47
15,100.91,93.48,92.03,105.98,93.3,95.11
16,95.96,83.68,90.53,90.88,89.82,87.02
17,91.09,109.45,110.16,105.7,110.16,111.94
18,114.13,116.12,113.59,119.93,117.93,117.75
19,106.74,110.49,106.37,104.68,100.94,98.13
20,100,103.4,105.44,96.43,103.06,102.89
21,101.6,101.6,101.92,98.4,98.72,100.96
22,113.05,118.88,115.86,122.09,109.44,116.47
23,115.89,123.33,121.05,109.47,104.74,114.74
24,69.1,89.24,77.08,81.25,85.42,94.79
25,132.27,135.82,131.38,132.27,137.23,140.25
26,119.6,116.12,114.65,121.43,125.82,124.91
27,110.85,117.25,110.85,96.9,106.4,106.98
28,109.41,103.14,113.53,98.68,111.88,107.43
29,104.01,104.94,106.79,99.07,102.01,104.78
30,110.38,114.57,112.57,118.94,116.58,115.12
31,92.67,102.01,97.25,92.49,96.52,99.45
32,89.34,92.39,95.09,92.39,94.92,96.79
33,113.19,119.62,116.49,112.5,116.49,117.19
35,82.99,81.12,80.78,89.8,84.86,88.27
36,114.37,112.64,107.85,104.21,109.58,113.79
37,118.13,117.5,117.29,119.17,109.58,121.25
38,103.88,106.15,86.41,101.78,97.57,100
39,109.28,101.89,107.01,108.52,98.11,100.57
40,113.96,111.25,119.38,117.29,111.04,110
